question,answer
How much is the tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
How much is the tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
When is the deadline to pay tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
School tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
What are the school's tuition fees?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
How much is the school's tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
How much does tuition cost per credit?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
Where to pay tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
Where can I pay tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
How to pay tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
 Can tuition fees be paid via internetbanking?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
What is the school's tuition payment deadline?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
How does the school increase tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
Can I ask how much the tuition is now?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
Can you tell me how to calculate the school's tuition?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
Can you tell me how much the tuition fee is for one semester?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
Can I ask how much the tuition fee is for the first semester of 2019?,"On average, each credit (tc) has a tuition fee of about 192 thousand/1tc for the 2017-2018 school year, 210 thousand/1tc for the 2018-2019 school year"
Can students who pay off debt receive tuition exemptions?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"I'm repeating a few subjects, but I wonder if I can get a tuition exemption for those subjects?","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Can I still get tuition exemption if I pay off debt?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
 Can tuition discounts apply to repeat courses?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Does tuition exemption also apply to debt repayment modules?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
I don't know if I'll still be able to get a tuition exemption for failed courses and retake them?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Are tuition exemptions and reductions applicable for non-repayable courses?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Debt repayment and tuition exemption,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Re-studying is free of tuition fees,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Does tuition exemption apply to debt repayment modules?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"I am studying to pay off debt, can I get a tuition fee reduction?","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"If I retake a few subjects, I wonder if I will receive a tuition exemption for those subjects?","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"I have to study to pay off some subjects, but I wonder if I will be exempted from tuition fees for those subjects?","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"If I forget to pay tuition, can I still take the semester exam?","Hello, please contact the Financial Planning Department (room B01) for answers."
"Hello teachers, I have a question: due to a mistake in the tuition payment deadline, I have not paid the tuition on time. So when I go to Agribank, can I still pay normally? Will I be banned from taking exams after closing?","Hello, please contact the Financial Planning Department (room B01) for answers."
"Hello teachers, due to a mistake in the tuition payment deadline, I have not paid the tuition until now. So let me ask, where can I pay tuition now?","Hello, please contact the Financial Planning Department (room B01) for answers."
"If I forget to pay tuition, will I be warned?","Hello, please contact the Financial Planning Department (room B01) for answers."
"I forgot to pay the tuition fee, but if I later paid it at Argigank bank, will I still be banned?","Hello, please contact the Financial Planning Department (room B01) for answers."
"If I have paid tuition after the deadline, will I still be banned from taking the exam?","Hello, please contact the Financial Planning Department (room B01) for answers."
Will I be banned from taking exams if I pay tuition late?,"Hello, please contact the Financial Planning Department (room B01) for answers."
Will I be banned from taking the exam if I pay tuition fees on time?,"Hello, please contact the Financial Planning Department (room B01) for answers."
"I have paid tuition but not on time, will I be banned from taking the exam?","Hello, please contact the Financial Planning Department (room B01) for answers."
"If I forget to pay tuition, will I be banned from taking the exam?","Hello, please contact the Financial Planning Department (room B01) for answers."
I forgot to pay the tuition fee but then I paid it before the semester exam. I wonder if I will be banned from taking the exam?,"Hello, please contact the Financial Planning Department (room B01) for answers."
"If I pay tuition late, will I be banned from taking the exam?","Hello, please contact the Financial Planning Department (room B01) for answers."
Can I ask if the tuition fee of my school is exempted for poor households? In what cases are exemptions possible? What documents need?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Are students from poor or near-poor households eligible for tuition exemption or reduction?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
I am a student from a near-poor household. I wonder if I will receive a tuition exemption policy?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"Poor, tuition exemption","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"Near poverty, tuition exemption","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"My family belongs to a poor household, I wonder if I will receive a tuition exemption policy?","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Can near-poor households receive tuition exemptions?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Can poor households receive tuition exemptions?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"If my family belongs to a near-poor household, will my tuition be exempted or reduced?","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
Can poor families receive tuition exemptions?,"According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"Teachers, let me ask if I am a poor student and have difficult circumstances, will I be eligible for tuition exemption or reduction?","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
"I am a poor student with difficult circumstances, can I get a tuition exemption?","According to regulations, only students who are ethnic minorities and belong to poor or near-poor households are eligible for tuition exemption and reduction. Tuition exemption and reduction only applies to official courses, non-debt repayment courses. Tuition fee exemption."
What is the training program for the industry you are about to study?,Please take a look at the training program here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=781).
